"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NPIPA8",156.498590830512,-0.467738952397533,0.638815261665238,0.351916280855405,0.487297867348271
"NPIPA7-ENSG00000233024",163.42745879225,-0.714851439945762,0.494592894230766,0.0983526437257944,0.181958459546179
"NOMO2",942.436620049963,-0.952548060169812,0.482682923651716,0.0254355152076292,0.061437287672563
"RPS15A",1885.10176129693,0.259137379053759,0.443569566224228,0.520910466951481,0.647449170958763
"ARL6IP1",3507.64882670876,0.601319979135826,0.507902558451973,0.17469004489432,0.287107062639212
"SMG1",2710.99329607169,0.667619878808612,0.347717456548688,0.039731310351575,0.0883518261093738
"TMC7",98.5929272768618,1.73392762068197,0.587050606465359,0.000731350456714764,0.00296195288525408
"COQ7",298.285343566329,-0.215549587736622,0.43054022089824,0.577954242640751,0.696549663368869
"ITPRIPL2",493.214735030056,-4.14422330320546,0.656430464181618,1.94603684846881e-11,3.31526542651078e-10
"SYT17",73.121789853241,8.71128077489172,2.68452039927684,3.83905290811505e-08,3.87350318659505e-07
"TMC5",33.7372655829414,2.97681119109924,1.04758640880199,0.000455306932536596,0.00193915050102589
"GDE1",1237.38597388898,-0.133275285667694,0.309624107606766,0.648854349830473,0.754160082274855
"CCP110",480.426241334882,0.755321400323253,0.36428171245564,0.026137003623928,0.0628028175763943
"C16orf62",1596.68573305427,-0.0898816230631516,0.286150917900806,0.74096325552123,0.825791659449073
"KNOP1",731.943416938424,1.78872330614843,0.422803428684297,5.49473034256006e-06,3.72176953549155e-05
"IQCK",150.135064869414,0.0338382852828453,0.471390874031789,0.937758537195962,0.961853142611101
"GPRC5B",2025.65317226674,4.60516357375588,0.408900308558204,1.77748741738949e-30,2.4788371037858e-28
"GPR139",5.96858471397781,0.980484456430899,1.63233095608847,0.0375322052824723,0.0844427680129661
"ACSM3",68.0242272028473,3.17049605884732,1.05862892628485,0.00020672194437634,0.0009730318627238
"ACSM1",11.2809485015572,5.06622115013328,3.43415093946257,0.00231836105443063,0.00812058321051539
"THUMPD1",1390.95334660966,1.29891133414204,0.449880508115317,0.00144828893836366,0.0054034167462769
"ERI2",293.404933895957,0.600394700400987,0.633002754527382,0.236374389590208,0.36273780335476
"AC004381.6",189.324571116772,0.171361111162826,0.620338541333143,0.73248659634048,0.818931941343933
"DCUN1D3",397.500065690847,-1.19665328386033,0.541416822959171,0.0105258523901701,0.0295137288807917
"LYRM1",400.181060291306,-0.955192770956566,0.404428833630089,0.00986499671754437,0.0279350371397172
"DNAH3",13.0224057553921,0.373267374791131,0.884260466490971,0.455313646503865,0.588567399626682
"TMEM159",518.641086849125,-0.173762636316891,0.36911666629791,0.610142929083817,0.72256410336501
"CRYM",153.502952475192,2.60015021391594,0.750897704313962,6.33002738322678e-05,0.00033711424696344
"CRYM-AS1",6.10846818540207,-0.0813830405675584,0.916731218742923,0.835414668300436,0.893810471290238
"NPIPB3",75.5585280406523,0.189810244392543,0.674723515367755,0.713145321188146,0.804541469379203
"METTL9",2667.40014834073,-0.181542424052785,0.310254634109847,0.538194250212685,0.662523235344615
