"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FBN2",5533.11214043825,-3.40183594300371,0.678672749446987,4.29359766238096e-08,4.53400119797756e-07
"SLC27A6",135.4852826824,5.17047142992708,0.955488090315152,7.01234839706582e-09,8.39199942086901e-08
"ISOC1",635.005462327195,1.27409352553079,0.390326394993395,0.000440019963391647,0.0019592413922938
"ADAMTS19-AS1",23.7595623906932,4.44214732192276,1.34659873141676,0.000174368817872973,0.000867263790117747
"ADAMTS19",452.987445646439,8.15966157291168,0.914977116774487,3.52912322986952e-19,1.70863171260822e-17
"CHSY3",100.96331982153,-2.97103331310675,0.860916975247729,4.84447018537218e-05,0.000275649056307818
"HINT1",2542.31218113737,-0.988764890465538,0.374728374368399,0.00467095419970479,0.0152331732802105
"LYRM7",478.210132273529,0.47252338759156,0.525586981162472,0.296350470350932,0.43210317978569
"CDC42SE2",790.396572684838,1.17032713512684,0.40231975471493,0.00160245427338824,0.00608020857244623
"RAPGEF6",186.146974798467,0.464509492523776,0.407912198285327,0.214849146086481,0.339736652038852
"FNIP1",651.712949209645,-0.219531147685898,0.480868170779245,0.602271907340019,0.721172622626669
"ACSL6",15.7220202068239,2.32868064171041,1.77883021786385,0.0142131097708111,0.0392293323876768
"AC063976.3",2.29709223803972,0.337001492189132,1.07570234504151,0.235778958238969,0.364720278036241
"P4HA2",2461.27761143866,-3.67635812095504,0.659488282010082,1.89308530381687e-09,2.50715812674472e-08
"PDLIM4",864.123135468983,-3.69553509781073,0.613499904687648,1.33322113487716e-10,2.14797986380714e-09
"SLC22A4",49.741810506798,-3.72720500474458,0.810684610700348,3.38328793833973e-07,3.03765251327742e-06
"SLC22A5",108.405909078153,0.24389165537418,0.475124634020881,0.56385182097852,0.688664083816146
"C5orf56",39.4239462284645,-3.63295976932552,1.32602188554017,0.000315620025123886,0.0014639624934439
"AC116366.6",5.76822998330307,-0.444482015964886,0.922637215790849,0.374734916761858,0.512950436486562
"IRF1",375.658339167027,-3.59085821162437,0.48348052964,9.77887667291449e-15,2.80797653893118e-13
"RAD50",1942.81134797824,0.395447988871059,0.506718648460271,0.371911713139959,0.510181450547922
"AC004041.2",3.37499034463419,0.165357138619201,0.910126660619462,0.703966861820918,0.799886519796811
"KIF3A",472.84075360287,0.508069790926664,0.362930285611433,0.134087073937743,0.237389483612794
"CCNI2",16.7966631524175,6.31282234088095,2.83643434354155,0.000179707121239306,0.00088988062832224
"SEPT8",1143.27424249363,-0.56981652774807,0.424927219126177,0.13747714009577,0.241824211478247
"SOWAHA",3.57084318555,-0.0382135412320936,0.933181227078589,0.919750978248059,0.950596923747486
"SHROOM1",131.468646569594,-0.414583247968331,0.607420634823296,0.396732328261565,0.534578974675849
"GDF9",8.6035759576825,-0.110128579731274,0.808493024437321,0.820559262115306,0.885174601122129
"UQCRQ",566.498606183708,-2.17644197907119,0.559103366412133,1.52388199516658e-05,9.71963390689393e-05
"LEAP2",30.2624150116621,0.660000365158367,0.9574019774355,0.233017515762639,0.361133442250651
"AFF4",2572.17436279576,0.397915007105592,0.339747345938582,0.214965839291726,0.339893072394789
"ZCCHC10",480.002204202992,0.883261457714269,0.368670002895081,0.010075955377436,0.0292934889994051
"HSPA4",8592.70600224864,0.932719514212325,0.42738092287771,0.0157032541315254,0.0425728709967809
"FSTL4",58.7103747843604,8.78160102935393,2.69544290231769,2.98921970184562e-08,3.23336185396468e-07
"C5orf15",1310.78633259449,-0.54861387195728,0.282780879952099,0.0423036332907705,0.0960939165046555
"VDAC1",5127.0566638725,-0.604131980750186,0.359849390180989,0.0698842774248498,0.143151983876695
"CTB-113I20.2",7.17535470645153,-0.42664876471961,0.987439459950849,0.345579597883807,0.484395738507262
"TCF7",178.318433581683,-0.146652850014755,0.590738318668622,0.758055727457317,0.839387281100905
"SKP1",2788.24072979291,-0.39866849889953,0.380819219103008,0.265127418344657,0.397488695130886
"PPP2CA",3442.0078918641,0.129364665916848,0.394308904021494,0.716860524351482,0.809521149554044
"CDKL3",62.1722877809566,-0.307185616229439,0.586661651075737,0.520759282590235,0.650065722984597
"CTD-2410N18.3",7.04731608052275,0.145149414577097,0.941245925509483,0.714203575978106,0.806856421805082
"UBE2B",766.316583529735,-1.50596971350411,0.412368745200518,7.82953027848736e-05,0.000425012594509771
"RP11-215P8.3",6.33711740458874,0.311536650959183,0.960193402962977,0.472797404371002,0.608218590151422
"CDKN2AIPNL",724.60519349161,0.658961087114598,0.389293086929863,0.0669868699859379,0.138313204665415
"AC005355.1",8.68086212335527,4.61274191604051,3.17202562839631,0.00278523217267635,0.00979131986585709
"JADE2",779.15306252806,-0.32756129221811,0.526106008771024,0.463818275260163,0.600383152570419
"SAR1B",760.126962163615,-1.36409393823954,0.373557505350627,9.24814280524084e-05,0.000494164523630695
"SEC24A",1075.40884340891,0.406085436827686,0.414011612528651,0.282120283824888,0.416108923944714
"CAMLG",1137.20895280745,-0.133685016776461,0.349553345325325,0.681765142919482,0.783915139080818
"DDX46",3072.36772975856,0.969327823965489,0.435347802994759,0.0135402169581789,0.0376206754479461
"C5orf24",754.54200348795,-1.14731622784917,0.397465357671928,0.00169676235979478,0.00637753210863118
"TXNDC15",785.025849110695,-1.96850062447585,0.341724936669632,1.71136377287574e-09,2.28229573169286e-08
"PCBD2",128.897456058474,0.537722748084074,0.580297698594682,0.265367495485001,0.397718494016861
"CATSPER3",2.81042565078137,0.0470260515614818,0.971132651208743,0.871274635648988,0.919905931217979
"PITX1",100.510547890016,-6.91075722616413,1.56305062430402,4.18893422301552e-07,3.69848467594408e-06
"C5orf66",10.7982605275688,-0.716901228739782,0.947362216687159,0.199856135214872,0.322236635178249
"H2AFY",1314.62054072171,-0.522036804687857,0.384266503321511,0.145077548963303,0.252269780539571
"CTC-203F4.2",3.08167850931187,-0.140066563378559,0.995043183637639,0.592613051836983,0.712641137101833
"CXCL14",24.3879404256102,0.35845401923789,0.865726001281103,0.48337763729079,0.617468033902149
"SLC25A48",16.698558902322,3.74640714052178,1.67245439302562,0.00226688819996176,0.00819662884024745
"LECT2",4.62437912807843,0.091030893568905,0.938925705357347,0.809626420334895,0.877078046642532
"TGFBI",31731.3153976398,-8.18621367044071,0.330664180400809,2.05758071860922e-136,1.96745868313414e-132
"SMAD5",1627.07524410017,0.510076425759974,0.385531382094506,0.152736969431968,0.262250117024328
"RP11-114H21.2",19.4995099077296,-0.935187441907254,1.79355392996427,0.00666812422756822,0.0207351557281325
"CTB-1I21.1",7.07542091531592,-0.537385502846189,1.19408598399217,0.0987912706777464,0.187414107092857
"SPOCK1",3655.7662164089,-4.45940553486459,0.497864718560456,2.33912515887155e-20,1.23573009774198e-18
"KLHL3",212.251184014093,3.77954853844445,0.635816310518889,2.95824421292196e-10,4.50784560381828e-09
"HNRNPA0",5598.01244454637,-0.157436591443487,0.331809670482367,0.631617469923456,0.744358525694533
"FAM13B",462.115429003763,-0.721626587599979,0.458466891654749,0.0780140232826471,0.155881327056456
"RP11-325L7.1",1.8573065457026,0.312913057105085,1.0691583282052,0.243173398735298,NA
"WNT8A",2.35979727108116,0.289598630787704,1.05243784478126,0.331361482249797,0.470170424880925
"NME5",14.7456625047524,-0.218540463382026,0.726739367594114,0.668691809675427,0.773882876049507
"BRD8",1099.62318136223,0.180193264191658,0.45519934226295,0.664685925618715,0.770905066500838
"KIF20A",1494.07886297432,0.722821277301298,0.718295732078366,0.184052396345553,0.302467820547594
"CDC23",1171.57726587152,0.918160558547568,0.346331178831968,0.00471427821031477,0.0153509035406197
"GFRA3",17.0235656492178,0.409679292940389,0.946788398434582,0.398205260710793,0.536098374222682
"CDC25C",443.445076467938,0.932614280925931,0.73891945041594,0.0942604498968405,0.180697358042019
"FAM53C",1302.11035288448,1.00548181461569,0.305901571802497,0.000613698137663336,0.00263324280562568
"KDM3B",2126.17996072326,1.45452248442739,0.309292736862009,8.93459451408988e-07,7.43862366075119e-06
"REEP2",447.780810469119,1.18094298652343,0.567437677422379,0.0146154678271147,0.0400725744409665
"EGR1",2625.86511925256,0.480620765692795,0.71796082671012,0.376271580972276,0.51446469682661
"ETF1",4997.53208580458,-0.0399800332941875,0.429283613574937,0.919845658187605,0.950596923747486
"HSPA9",12147.3738700386,0.262644464689113,0.438556674546262,0.511310211670666,0.641394466166572
"CTNNA1",8977.00818735955,-0.0568643092080699,0.314164802621252,0.840731689973497,0.89906437440975
"LRRTM2",3.00057116460616,-0.241060957267661,1.05069357062195,0.220671675709965,0.346964163962622
"SIL1",548.348004052979,-2.87018992244765,0.437372592383046,5.91258065150471e-12,1.16090546590735e-10
"CTB-46B19.2",3.00244525100788,0.510513562977436,1.16965417525241,0.112774569893602,0.207774650736535
"MATR3",13497.0592196178,1.23571289263962,0.355917526452985,0.000199449326351771,0.000973276069699228
"PAIP2",1225.87726928478,1.06567954077015,0.337813945376928,0.000825460920270398,0.00341026455805813
"SLC23A1",8.49125748797036,0.569900985149742,1.05034446429392,0.244602353382981,0.374881824498808
"MZB1",3.01563732046407,0.254459770885375,1.05348346448028,0.266219080242291,0.398776039050175
"PROB1",57.7217947035652,0.638341975339095,0.632166477167788,0.209030106561457,0.333096555110516
"SPATA24",70.8942284978269,0.909100867451056,0.567996179467376,0.0588486132247235,0.124739351468466
"DNAJC18",410.197487622821,0.383230939902394,0.410509778325525,0.306786759389578,0.443729389393911
"ECSCR",16.6831449907132,2.9750137390987,2.42029947823312,0.00970177616643002,0.028386898318055
"TMEM173",811.602704090175,-6.34732783096748,1.00970981971409,1.59441417713677e-11,2.95461014763213e-10
"UBE2D2",2256.19945186781,0.18206900229442,0.353308900480015,0.582240799051951,0.703663614829974
"CXXC5",1370.44111344768,-0.236792797053111,0.491694324010769,0.579606438452785,0.701870898580876
"PSD2",16.3342969136543,0.120055001014407,0.864829103667714,0.802395152742161,0.871924819651178
"NRG2",7.23952907957004,0.702773159410039,1.2313283189803,0.126298426337432,0.226962141070951
"LINC01024",6.05848147445799,-0.00038101874186047,0.83845522297374,0.994664451414669,0.996894723496678
"PURA",254.619315135581,-2.09075920206372,0.640377350740131,0.000169921649821983,0.000847786352093622
"IGIP",88.3288854353569,-2.60467500035479,0.759304007345834,6.37098914228134e-05,0.000352746949499098
"CYSTM1",463.051822189558,-0.93905589250544,0.543714319644164,0.042974512893469,0.0973403511281181
"PFDN1",956.493799870313,-0.6008735312401,0.35757635548551,0.0712297204902058,0.145363053532675
"HBEGF",117.695434040734,-1.27435064698436,0.703920224916834,0.02218389894551,0.0564305511351333
"SLC4A9",4.88244995018929,0.931220941201879,1.64525436138799,0.0261873483810328,0.0647037274468826
"CTC-329D1.2",12.8153749117395,0.228857899752416,0.850178489126294,0.644077823312049,0.754692990197881
"ANKHD1",47.0464511965938,1.61420897765094,0.732830200351864,0.00643189341270958,0.0201084730463721
"ANKHD1-EIF4EBP3",10.442410123048,-0.390751088039607,0.901635853620216,0.430761708926104,0.56844375665904
"SRA1",1057.69344209039,-1.69192855860865,0.363250828173399,8.22036769544808e-07,6.8919908727641e-06
"EIF4EBP3",7.24928897693319,-0.39150214239019,0.921342283867127,0.421189465432661,0.559246499821858
"APBB3",209.459279880289,-0.369267586534165,0.637380425816399,0.459190404264353,0.596289623898383
"SLC35A4",1456.07199368632,-0.666970725409035,0.322607255651087,0.0285047376135385,0.0694119466516521
"CD14",4.99400543312796,-0.204962974711136,1.04072686471325,0.250794473420234,0.381619470853641
"NDUFA2",293.877804899247,-0.72087825728628,0.447473206005346,0.0719680870532836,0.146479107791294
"TMCO6",283.947479831216,0.875798220604477,0.429013313493171,0.0244160608894618,0.0611168518913701
"IK",1912.16196979551,-0.276059787872066,0.333647404092399,0.378543384117875,0.516831846781627
"WDR55",476.21053163996,-1.00720255764213,0.382274372951512,0.00431415024086471,0.0142715463079565
"HARS",1245.12895171488,-1.40058123293735,0.399705598390825,0.00015395556458729,0.000776231536295107
"HARS2",525.281409033491,-0.651396558197672,0.355198377862304,0.0490835731006629,0.108179584185442
"ZMAT2",1290.60387621424,-0.469943473871539,0.306103218343053,0.106040554321209,0.198268751190706
"PCDHA1",35.9102169005857,3.88676265706302,1.28152622563677,0.000324450928804078,0.00149789260401795
"PCDHA2",59.1179551707558,2.81171969545893,1.20376429045826,0.00160997785234474,0.00610049860278203
"PCDHA3",82.3216293318562,4.00853073539334,0.765023895892168,2.38213550662583e-08,2.61065670078581e-07
"PCDHA4",62.8070597204476,4.30684958426823,1.0206072538852,4.36576076459917e-06,3.16492831168289e-05
"PCDHA5",22.595719812629,6.33124347358649,2.62522646343576,5.98598675429117e-05,0.000333749302300479
"PCDHA6",81.5182312690485,8.5176643291432,2.64364490875529,4.47892881036298e-08,4.71409106050532e-07
"PCDHA7",32.7738716732549,1.14704109733574,0.797869780940327,0.0540229590614422,0.116698866948043
"PCDHA8",16.2004213143796,6.31003123582817,2.76973881474403,0.00013459855724602,0.000692138426666545
